ParticipantCode,SessionID,ConditionCode,ScenarioNumber,ScenarioName,QuestionNumber,TotalExchanges,TotalTurns,AvgHelpScore,AvgTaskEngagementScore,AnswerRequestCount,OffTopicCount,ModelLeakCount,OnTopicSeconds,OffTopicSeconds,SubstantiveQuestionCount,ChatUsedInQuestion,DominantUtilityLevel,EffectiveHelpLevel,Flags,Timestamp
P03,ID-20260619130844-6091,C,3,Condición C — Agente Virtual,1,3,6,63.8,15.0,0,3,0,0.00,135.51,0,1,Wasted,LowEngagement,off_topic=3|on_topic_sec=0.0|off_topic_sec=135.5|dominant_utility=wasted,2026-06-19 13:11:16
P03,ID-20260619130844-6091,C,3,Condición C — Agente Virtual,2,0,0,0.0,0.0,0,0,0,0.00,0.00,0,0,None,None,no_chat_used,2026-06-19 13:11:19
P03,ID-20260619130844-6091,C,3,Condición C — Agente Virtual,3,0,0,0.0,0.0,0,0,0,0.00,0.00,0,0,None,None,no_chat_used,2026-06-19 13:11:22
P03,ID-20260619130844-6091,C,3,Condición C — Agente Virtual,4,0,0,0.0,0.0,0,0,0,0.00,0.00,0,0,None,None,no_chat_used,2026-06-19 13:11:26
P03,ID-20260619130844-6091,C,3,Condición C — Agente Virtual,5,0,0,0.0,0.0,0,0,0,0.00,0.00,0,0,None,None,no_chat_used,2026-06-19 13:11:28
P03,ID-20260619130844-6091,C,3,Condición C — Agente Virtual,6,0,0,0.0,0.0,0,0,0,0.00,0.00,0,0,None,None,no_chat_used,2026-06-19 13:11:31
P03,ID-20260619130844-6091,B,2,Condición B — Agente de Texto,1,0,0,0.0,0.0,0,0,0,0.00,0.00,0,0,None,None,no_chat_used,2026-06-19 13:13:33
P03,ID-20260619130844-6091,B,2,Condición B — Agente de Texto,2,0,0,0.0,0.0,0,0,0,0.00,0.00,0,0,None,None,no_chat_used,2026-06-19 13:13:35
P03,ID-20260619130844-6091,B,2,Condición B — Agente de Texto,3,0,0,0.0,0.0,0,0,0,0.00,0.00,0,0,None,None,no_chat_used,2026-06-19 13:13:39
P03,ID-20260619130844-6091,B,2,Condición B — Agente de Texto,4,0,0,0.0,0.0,0,0,0,0.00,0.00,0,0,None,None,no_chat_used,2026-06-19 13:13:42
P03,ID-20260619130844-6091,B,2,Condición B — Agente de Texto,5,0,0,0.0,0.0,0,0,0,0.00,0.00,0,0,None,None,no_chat_used,2026-06-19 13:13:44
P03,ID-20260619130844-6091,B,2,Condición B — Agente de Texto,6,0,0,0.0,0.0,0,0,0,0.00,0.00,0,0,None,None,no_chat_used,2026-06-19 13:13:47
