ParticipantCode,SessionID,ScenarioNumber,ScenarioName,QuestionNumber,ActionType,ActionDetail,CorrectAnswer,TimeSpent(s),Timestamp
P03,ID-20260619130844-6091,3,Condición C — Agente Virtual,1,S3_Quest_1,No — Lista de Espera | Confianza: 3,No — Lista de Espera,147.17,2026-06-19 13:11:16
P03,ID-20260619130844-6091,3,Condición C — Agente Virtual,2,S3_Quest_2,Reemplazo — Plan Total | Confianza: 6,Reemplazo — 24 Meses,3.14,2026-06-19 13:11:19
P03,ID-20260619130844-6091,3,Condición C — Agente Virtual,3,S3_Quest_3,Permitido — Zona N2 | Confianza: 4,Denegado — Fuera de Horario,3.03,2026-06-19 13:11:22
P03,ID-20260619130844-6091,3,Condición C — Agente Virtual,4,S3_Quest_4,Solo Descuento | Confianza: 4,Descuento + Recargo,3.31,2026-06-19 13:11:26
P03,ID-20260619130844-6091,3,Condición C — Agente Virtual,5,S3_Quest_5,Crédito — Plazo 60 Días | Confianza: 5,Sin Reembolso — Abierto,2.30,2026-06-19 13:11:28
P03,ID-20260619130844-6091,3,Condición C — Agente Virtual,6,S3_Quest_6,No — Requiere RRHH | Confianza: 3,Sí — Con RRHH,2.87,2026-06-19 13:11:31
P03,ID-20260619130844-6091,2,Condición B — Agente de Texto,1,S2_Quest_1,Reprobado — 4 Ausencias | Confianza: 5,Aprobado,4.24,2026-06-19 13:13:33
P03,ID-20260619130844-6091,2,Condición B — Agente de Texto,2,S2_Quest_2,Acelerado — 2 (Combinado) | Confianza: 4,Acelerado — 3 Revisores,2.63,2026-06-19 13:13:35
P03,ID-20260619130844-6091,2,Condición B — Agente de Texto,3,S2_Quest_3,Aprobado — Prueba No Aplica Aquí | Confianza: 3,Requiere Supervisor — Prueba Baja Umbral,3.17,2026-06-19 13:13:39
P03,ID-20260619130844-6091,2,Condición B — Agente de Texto,4,S2_Quest_4,No — Plazo Límite | Confianza: 4,Sí — Autorización Válida,3.19,2026-06-19 13:13:42
P03,ID-20260619130844-6091,2,Condición B — Agente de Texto,5,S2_Quest_5,Express + Seguro | Confianza: 4,Express + Seguro,2.52,2026-06-19 13:13:44
P03,ID-20260619130844-6091,2,Condición B — Agente de Texto,6,S2_Quest_6,Nivel 1 | Confianza: 4,Nivel 3 — Pérdida de Datos,2.30,2026-06-19 13:13:47
P03,ID-20260619130844-6091,1,Condición A — Sin Asistencia,1,S1_Quest_1,Prioridad 1 — Inmediata | Confianza: 6,Prioridad 3 — Normal,2.68,2026-06-19 13:14:36
P03,ID-20260619130844-6091,1,Condición A — Sin Asistencia,2,S1_Quest_2,Prioridad 2 — Contrato | Confianza: 3,Prioridad 2 — Usuarios,2.48,2026-06-19 13:14:39
P03,ID-20260619130844-6091,1,Condición A — Sin Asistencia,3,S1_Quest_3,Restringido — TI Nocturno | Confianza: 4,Restringido — TI Nocturno,3.01,2026-06-19 13:14:42
P03,ID-20260619130844-6091,1,Condición A — Sin Asistencia,4,S1_Quest_4,No — Ambas Neutralizadas | Confianza: 4,No — Ambas Neutralizadas,2.21,2026-06-19 13:14:44
P03,ID-20260619130844-6091,1,Condición A — Sin Asistencia,5,S1_Quest_5,Sí — Área + Sin Sanciones | Confianza: 3,No — Promedio Insuficiente,2.45,2026-06-19 13:14:46
P03,ID-20260619130844-6091,1,Condición A — Sin Asistencia,6,S1_Quest_6,Estándar — Sin Técnico | Confianza: 3,Crítica — Contrato 24/7,2.43,2026-06-19 13:14:49
