Condition,QuestionNumber,ScenarioNumber,N,MeanConfidenceNorm,AccuracyPct,CalibrationGap
A,1,1,5,0.3333,80.0,-0.4667
A,2,1,5,0.2333,60.0,-0.3667
A,3,1,5,0.3667,40.0,-0.0333
A,4,1,5,0.2667,40.0,-0.1333
A,5,1,5,0.2667,80.0,-0.5333
A,6,1,5,0.3333,20.0,0.1333
B,1,2,5,0.6667,60.0,0.0667
B,2,2,5,0.6,80.0,-0.2
B,3,2,5,0.6,60.0,0.0
B,4,2,5,0.5333,80.0,-0.2667
B,5,2,5,0.6333,80.0,-0.1667
B,6,2,5,0.7667,100.0,-0.2333
C,1,3,5,0.9,60.0,0.3
C,2,3,5,0.8667,100.0,-0.1333
C,3,3,5,0.8333,40.0,0.4333
C,4,3,5,0.7667,100.0,-0.2333
C,5,3,5,0.7333,80.0,-0.0667
C,6,3,5,0.8,80.0,0.0
